Name,Genres,Language,Rating,OrderedSet
#RichKids of Beverly Hills,['Drama'],English,5,#RichKids of Beverly Hills | ['Drama'] | English | 5
$#*! My Dad Says,['Comedy'],English,6.8,$#*! My Dad Says | ['Comedy'] | English | 6.8
'Allo 'Allo!,"['Comedy', 'War']",English,8,"'Allo 'Allo! | ['Comedy', 'War'] | English | 8"
'til Death,"['Comedy', 'Romance']",English,7.4,"'til Death | ['Comedy', 'Romance'] | English | 7.4"
10 Things I Hate About You,"['Drama', 'Comedy']",English,6.5,"10 Things I Hate About You | ['Drama', 'Comedy'] | English | 6.5"
100 Miles from Nowhere,"['Adventure', 'Travel']",English,,"100 Miles from Nowhere | ['Adventure', 'Travel'] | English"
100 Questions,"['Comedy', 'Romance']",English,6.6,"100 Questions | ['Comedy', 'Romance'] | English | 6.6"
100 Things to Do Before High School,"['Comedy', 'Children']",English,7.3,"100 Things to Do Before High School | ['Comedy', 'Children'] | English | 7.3"
101 Amazing Thrills,"['Adventure', 'Travel']",English,,"101 Amazing Thrills | ['Adventure', 'Travel'] | English"
12 Monkeys,"['Drama', 'Adventure', 'Science-Fiction']",English,7.7,"12 Monkeys | ['Drama', 'Adventure', 'Science-Fiction'] | English | 7.7"
15 Storeys High,['Comedy'],English,,15 Storeys High | ['Comedy'] | English
1600 Penn,['Comedy'],English,6.4,1600 Penn | ['Comedy'] | English | 6.4
1864,"['Drama', 'War']",Danish,7.4,"1864 | ['Drama', 'War'] | Danish | 7.4"
19 Kids and Counting,['Family'],English,,19 Kids and Counting | ['Family'] | English
1915,"['Drama', 'Action', 'War']",English,,"1915 | ['Drama', 'Action', 'War'] | English"
2 Broke Girls,['Comedy'],English,7.2,2 Broke Girls | ['Comedy'] | English | 7.2
20/20,[],English,6.1,20/20 | [] | English | 6.1
21 Jump Street,"['Drama', 'Action', 'Adventure']",English,6.8,"21 Jump Street | ['Drama', 'Action', 'Adventure'] | English | 6.8"
24,"['Drama', 'Action', 'Thriller']",English,8.3,"24 | ['Drama', 'Action', 'Thriller'] | English | 8.3"
3 Days,"['Drama', 'Action', 'Thriller']",Korean,,"3 Days | ['Drama', 'Action', 'Thriller'] | Korean"
30 Rock,['Comedy'],English,8,30 Rock | ['Comedy'] | English | 8
37 Days,"['Drama', 'War', 'History']",English,7.2,"37 Days | ['Drama', 'War', 'History'] | English | 7.2"
3AM,['Adult'],English,,3AM | ['Adult'] | English
3rd Rock from the Sun,"['Comedy', 'Family', 'Science-Fiction']",English,7.8,"3rd Rock from the Sun | ['Comedy', 'Family', 'Science-Fiction'] | English | 7.8"
500 Questions,['Family'],English,,500 Questions | ['Family'] | English
5ive Days to Midnight,"['Drama', 'Science-Fiction', 'Thriller']",English,6.7,"5ive Days to Midnight | ['Drama', 'Science-Fiction', 'Thriller'] | English | 6.7"
60 Minutes Sports,[],English,,60 Minutes Sports | [] | English
666 Park Avenue,"['Drama', 'Mystery', 'Supernatural']",English,6.6,"666 Park Avenue | ['Drama', 'Mystery', 'Supernatural'] | English | 6.6"
7 Days,"['Action', 'Adventure', 'Science-Fiction']",English,7.7,"7 Days | ['Action', 'Adventure', 'Science-Fiction'] | English | 7.7"
7 Little Johnstons,"['Drama', 'Comedy', 'Family']",English,5.6,"7 Little Johnstons | ['Drama', 'Comedy', 'Family'] | English | 5.6"
71 Degrees North,"['Action', 'Adventure']",English,,"71 Degrees North | ['Action', 'Adventure'] | English"
7th Heaven,"['Drama', 'Family']",English,6.8,"7th Heaven | ['Drama', 'Family'] | English | 6.8"
8 Minutes,"['Drama', 'Action', 'Crime']",English,,"8 Minutes | ['Drama', 'Action', 'Crime'] | English"
8 Out of 10 Cats Does Countdown,['Comedy'],English,8,8 Out of 10 Cats Does Countdown | ['Comedy'] | English | 8
8 Simple Rules,"['Comedy', 'Family']",English,7,"8 Simple Rules | ['Comedy', 'Family'] | English | 7"
8-Oct,"['Drama', 'Action', 'Crime']",English,,"8-Oct | ['Drama', 'Action', 'Crime'] | English"
90210,"['Drama', 'Romance']",English,6.6,"90210 | ['Drama', 'Romance'] | English | 6.6"
A Bit of Fry and Laurie,['Comedy'],English,7.8,A Bit of Fry and Laurie | ['Comedy'] | English | 7.8
A Crime to Remember,"['Drama', 'Crime', 'Mystery']",English,6.9,"A Crime to Remember | ['Drama', 'Crime', 'Mystery'] | English | 6.9"
A Gifted Man,"['Drama', 'Fantasy', 'Medical']",English,7.7,"A Gifted Man | ['Drama', 'Fantasy', 'Medical'] | English | 7.7"
A Haunting,"['Drama', 'Horror', 'Mystery']",English,7.9,"A Haunting | ['Drama', 'Horror', 'Mystery'] | English | 7.9"
A Place to Call Home,"['Drama', 'Romance']",English,7.7,"A Place to Call Home | ['Drama', 'Romance'] | English | 7.7"
A Sale of Two Cities,['Travel'],English,,A Sale of Two Cities | ['Travel'] | English
